"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i can like or unlike thread","User like a thread","SUCCESS","2022-07-17T23:57:23.669176+07:00[Asia/Bangkok]","0.0","6.18"
"As a user i can like or unlike thread","User unlike a thread","SUCCESS","2022-07-17T23:57:29.8732779+07:00[Asia/Bangkok]","0.0","0.78"
"As a user on login page","User input valid email and password","SUCCESS","2022-07-17T23:57:30.7442379+07:00[Asia/Bangkok]","0.0","0.62"
"As a user on login page","User input valid email and unvalid password","SUCCESS","2022-07-17T23:57:31.375284+07:00[Asia/Bangkok]","0.0","0.31"
"As a user on login page","User input unvalid email and valid password","SUCCESS","2022-07-17T23:57:31.7183094+07:00[Asia/Bangkok]","0.0","0.34"
"As a user on login page","User input unvalid email and unvalid password","SUCCESS","2022-07-17T23:57:32.2333471+07:00[Asia/Bangkok]","0.0","0.38"
"As a user on profil page","User get data profile","SUCCESS","2022-07-17T23:57:32.6713786+07:00[Asia/Bangkok]","0.0","0.72"
"As a user on profil page","User get my thread","SUCCESS","2022-07-17T23:57:33.3986065+07:00[Asia/Bangkok]","0.0","0.58"
"As a user on profil page","User delete my thread","SUCCESS","2022-07-17T23:57:33.9875376+07:00[Asia/Bangkok]","0.0","0.58"
"As a user on register page","User register with valid data","SUCCESS","2022-07-17T23:57:34.5844186+07:00[Asia/Bangkok]","0.0","1.02"
"As a user on register page","User register but no input firstname","SUCCESS","2022-07-17T23:57:35.6133523+07:00[Asia/Bangkok]","0.0","0.52"
"As a user on register page","User register but no input lastname","SUCCESS","2022-07-17T23:57:36.1393908+07:00[Asia/Bangkok]","0.0","0.48"
"As a user on register page","User register but no input email","SUCCESS","2022-07-17T23:57:36.6263989+07:00[Asia/Bangkok]","0.0","0.39"
"As a user on register page","User register but no input password","SUCCESS","2022-07-17T23:57:37.022528+07:00[Asia/Bangkok]","0.0","0.37"
"As a user on register page","User register but no input tanggal lahir","SUCCESS","2022-07-17T23:57:37.4064335+07:00[Asia/Bangkok]","0.0","0.42"
"As a user on register page","User register but no input jenis kelamin","SUCCESS","2022-07-17T23:57:37.8343825+07:00[Asia/Bangkok]","0.0","0.4"
"As a user on category thread","User get thread category","SUCCESS","2022-07-17T23:57:38.2515942+07:00[Asia/Bangkok]","0.0","0.67"
"As a user on category thread","User get all thread","SUCCESS","2022-07-17T23:57:38.9265039+07:00[Asia/Bangkok]","0.0","0.64"
"As a user on category thread","User get thread by id","SUCCESS","2022-07-17T23:57:39.5712553+07:00[Asia/Bangkok]","0.0","0.57"
"As a user on category thread","User get thread by kategori","SUCCESS","2022-07-17T23:57:40.1496442+07:00[Asia/Bangkok]","0.0","0.62"
"As a user on category thread","User get trending thread","SUCCESS","2022-07-17T23:57:40.7784079+07:00[Asia/Bangkok]","0.0","0.55"
"User","get all data users","SUCCESS","2022-07-17T23:57:41.3433402+07:00[Asia/Bangkok]","0.0","0.69"
"User","get data followers details","SUCCESS","2022-07-17T23:57:42.0423636+07:00[Asia/Bangkok]","0.0","0.51"
"User","get data following details users","SUCCESS","2022-07-17T23:57:42.5594256+07:00[Asia/Bangkok]","0.0","0.56"
